pl_name,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,disposition
55,1.486243,2456894.197,3.19488,58.0,5.2,1.2,-1.2,0.28,1.87,0.22,-0.22,809.464,39.163,-35.762,1.21055,0.0565635,-0.0565635,FALSE POSITIVE
56,13.97896,2456984.444,3.52,2.89,0.25782853,0.04193059,-0.04193059,0.0281,0.93,0.14,-0.14,232.964,3.509,-3.408,4.26498,0.0632312,-0.0632312,CONFIRMED
57,9.327527,2457140.847,3.35,2.69,0.23998614,0.06869492,-0.01873498,0.0312,0.78,0.02,-0.02,327.783,3.236,-3.175,3.02214,0.0296087,-0.0296087,CONFIRMED
58,7.775,2457916.86,1.248,1.0,0.08921402,0.0089214,-0.0089214,0.0241,0.36,0.01,-0.01,31.0849,0.0831,-0.0826,32.1414,0.0851176,-0.0851176,CONFIRMED
59,9.75833,2457396.099,1.8,0.88,0.079,0.0098,-0.024,0.0217,0.371,0.036,-0.083,124.458,0.626,-0.619,8.00615,0.0399039,-0.0399039,CONFIRMED
60,3.142811,2457301.809,4.572,5.69,0.508,0.11,-0.054,0.0634,0.822,0.178,-0.087,746.138,2.093,-2.063,4.77093,0.0476123,-0.0476123,CONFIRMED
61,7.51574,2457588.427,2.3,2.0,0.17842805,0.01873495,-0.01605852,0.0348,0.53,0.01,-0.01,143.125,0.915,-0.903,6.95835,0.0440573,-0.0440573,CONFIRMED
62,10.13446,2457140.74,2.856,1.92,0.171,0.044,-0.052,0.0777,0.226,0.056,-0.06,179.854,4.044,-3.873,5.53519,0.121384,-0.121384,CONFIRMED
63,3.6191634,2457378.419,4.36848,16.667783,1.487,0.031,-0.031,0.10721,1.46198,0.040150000000000005,-0.04,944.603,32.262,-30.233,1.03135,0.0347051,-0.0347051,CONFIRMED
64,4.175187,2457314.463,3.3792,13.4,1.2,0.13,-0.1,0.1069,1.15,0.040150000000000005,-0.04,856.436,21.874,-20.829,1.13973,0.0288665,-0.0288665,CONFIRMED
65,11.391432,2457151.713,3.8304,11.1,0.99,0.07,-0.05,0.1131,0.9,0.040150000000000005,-0.04,475.758,8.252,-7.98,2.07344,0.0355806,-0.0355806,CONFIRMED
66,3.280926,2457142.134,1.9296,2.3,0.21,0.03,-0.01,0.0285,0.75,0.040150000000000005,-0.04,123.438,0.714,-0.706,8.07267,0.0462617,-0.0462617,CONFIRMED
67,20.698453,2456987.055,2.93,2.69,0.23998573,0.02230354,-0.02408779,0.03279,0.73,0.040150000000000005,-0.04,311.313,3.544,-3.467,3.18378,0.0358917,-0.0358917,CONFIRMED
68,30.952606,2457147.496,3.7608,3.0,0.27,0.05,-0.04,0.0429,0.64,0.040150000000000005,-0.04,161.555,0.652,-0.652,6.16099,0.0248026,-0.0248026,CONFIRMED
69,7.809757,2457144.856,3.5808,2.9,0.26,0.04,-0.03,0.0224,1.19,0.040150000000000005,-0.04,446.821,8.707,-8.385,2.20973,0.0424739,-0.0424739,CONFIRMED
70,6.98541,2456987.379,1.41,2.15,0.19181015,0.02944063,-0.02944063,0.0457,0.426,0.049,-0.049,153.192,1.23,-1.211,6.49946,0.0516049,-0.0516049,CONFIRMED
71,18.787839,2457911.685,4.7,5.098,0.45481388,0.01373898,-0.01302527,0.0377,1.239,0.032,-0.03,606.992,13.07,-12.539,1.61879,0.0344879,-0.0344879,CONFIRMED
72,13.85327454,2459476.992,3.1969542,2.2098839,0.19715298,0.12210164,-0.12210164,0.0301,0.655766,0.067284,-0.067284,72.7998,0.2864,-0.2841,13.7077,0.05342,-0.05342,CONFIRMED
73,7.9388,2457304.845,1.464,0.94,0.084,0.012,-0.021,0.0139,0.616,0.049,-0.038,145.701,1.082,-1.067,6.83508,0.0502397,-0.0502397,CONFIRMED
74,18.44951,2456822.67,2.4144,3.09,0.276,0.052,-0.042,0.0605,0.468,0.086,-0.063,82.9631,0.3747,-0.3714,12.025,0.0537978,-0.0537978,CONFIRMED
75,9.100412,2460229.092,2.181,2.59387,0.23140998,0.01960785,-0.01960785,0.0301,0.77,0.06,-0.06,62.4491,0.1831,-0.182,15.9843,0.0464561,-0.0464561,CONFIRMED
76,6.2014698,2457740.961,1.2228,2.022,0.18039076,0.00410385,-0.0038362,0.03073,0.602,0.005,-0.004,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,CONFIRMED
77,18.7132,2457151.885,6.888,3.63,0.324,0.03,-0.034,0.0408,0.816,0.066,-0.039,488.152,7.654,-7.425,2.01993,0.0313977,-0.0313977,CONFIRMED
78,2.494206,2457303.2,1.704,1.22,0.109,0.012,-0.021,0.0169,0.663,0.046,-0.022,118.011,0.519,-0.514,8.44508,0.0367772,-0.0367772,CONFIRMED
79,2.225177,2457830.062,1.719,1.589,0.14176108,0.00847533,-0.00642341,0.01614,0.899,0.035,-0.033,90.0562,0.4953,-0.49,11.0758,0.0602907,-0.0602907,CONFIRMED
80,6.42149,2457065.001,2.8824,2.51,0.224,0.02,-0.021,0.0275,0.836,0.056,-0.037,284.876,2.264,-2.229,3.48158,0.0274707,-0.0274707,CONFIRMED
81,18.4498,2456822.671,2.8397,2.25,0.20073156,0.04728343,-0.08564546,0.06669,0.31,0.11,-0.11,82.9631,0.3747,-0.3714,12.025,0.0537978,-0.0537978,CONFIRMED
82,20.6915,2456987.055,2.28,2.1,0.19,0.021,-0.026,0.0301,0.64,0.042,-0.013,311.313,3.544,-3.467,3.18378,0.0358917,-0.0358917,CONFIRMED
83,20.885075,2456905.796,5.59,4.05,0.3613168,0.02230354,-0.02408779,0.04548,0.77,0.040150000000000005,-0.04,170.562,1.36,-1.338,5.83465,0.0460219,-0.0460219,CONFIRMED
84,5.443984,2457143.566,2.1792,2.1,0.19,0.04,-0.04,0.0369,0.52,0.040150000000000005,-0.04,101.632,0.374,-0.372,9.81066,0.0358559,-0.0358559,CONFIRMED
85,1.337116,2457222.121,1.8504,11.5,1.03,0.41,-0.41,0.1599,0.66,0.040150000000000005,-0.04,181.374,1.218,-1.203,5.4849,0.0365103,-0.0365103,CONFIRMED
86,2.2604455,2457931.898,0.9816,2.56,0.228,0.024,-0.023,0.0815,0.288,0.028,-0.028,62.9969,0.3212,-0.3181,15.8456,0.0799362,-0.0799362,CONFIRMED
87,8.0549321,2456982.325,2.78,2.01,0.17932019,0.02230354,-0.02408779,0.02249,0.72,0.040150000000000005,-0.04,168.652,1.258,-1.24,5.90092,0.0435691,-0.0435691,CONFIRMED
88,24.64671,2456812.276,3.6,1.18,0.105,0.019,-0.016,0.0291,0.371,0.057,-0.043,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,CONFIRMED
89,9.915615,2457139.655,2.66,1.3,0.11597823,0.0089214,-0.0089214,0.017,0.71,0.03,-0.03,188.175,2.065,-2.022,5.28616,0.0572616,-0.0572616,CONFIRMED
90,7.95486,2457584.338,2.1,2.07,0.18467303,0.01605852,-0.01159782,0.03,0.63,0.01,-0.01,129.356,0.445,-0.445,7.70175,0.0264005,-0.0264005,CONFIRMED
91,10.56131,2456900.476,2.64,2.83,0.252,0.023,-0.068,0.0209,1.241,0.038,-0.06,192.69,2.669,-2.597,5.16248,0.0703693,-0.0703693,CONFIRMED
92,0.959641,2457394.375,1.622,1.7,0.15166384,0.01605852,-0.0133821,0.01744,0.86,0.04,-0.04,47.2899,0.1485,-0.1475,21.1175,0.065682,-0.065682,CONFIRMED
93,2.78711,2457141.324,1.728,2.0,0.2,0.035,-0.062,0.0362,0.507,0.085,-0.025,166.169,1.047,-1.047,5.98933,0.0376275,-0.0376275,CONFIRMED
94,31.715868,2456903.792,5.33,3.13,0.2792399,0.02230354,-0.02408779,0.04201,0.72,0.040150000000000005,-0.04,157.682,1.309,-1.288,6.31369,0.051837,-0.051837,CONFIRMED
95,9.45889,2457583.908,3.0,1.44,0.1284682,0.00981354,-0.00624498,0.019,0.69,0.01,-0.01,124.433,0.617,-0.61,8.00776,0.03935,-0.03935,CONFIRMED
96,3.114893076,2458493.284,2.3721346,12.11200864,1.0805629,0.01957169,-0.01957169,0.0301,0.74956,0.040150000000000005,-0.04,442.813,6.909,-6.702,2.22979,0.0344416,-0.0344416,CONFIRMED
97,5.185743,2457143.561,2.0304,7.7,0.69,0.1,-0.1,0.1005,0.71,0.040150000000000005,-0.04,169.398,1.061,-1.048,5.87462,0.0364652,-0.0364652,CONFIRMED
98,31.393463,2457063.402,2.112,1.9,0.16950665,0.02676421,-0.02676421,0.049,0.32,0.03,-0.03,65.6138,0.8821,-0.8594,15.2166,0.200695,-0.200695,CONFIRMED
99,7.122297,2457222.134,3.1392,1.0,0.09,0.01,-0.01,0.0126,0.76,0.040150000000000005,-0.04,182.983,1.608,-1.579,5.43668,0.0472308,-0.0472308,CONFIRMED
100,4.1752387,2457360.39,3.46272,13.843115,1.235,0.043,-0.043,0.10966,1.155,0.039,-0.039,856.436,21.874,-20.829,1.13973,0.0288665,-0.0288665,CONFIRMED
101,3.312792,2457739.903,2.5,4.662,0.4159165,0.02792404,-0.03060046,0.0442,0.966,0.059,-0.056,456.122,5.675,-5.54,2.16371,0.0267492,-0.0267492,CONFIRMED
102,25.457815,2456983.646,4.6,2.99,0.26674993,0.02230354,-0.02408779,0.02641,0.95,0.040150000000000005,-0.04,517.534,22.291,-20.551,1.90689,0.0792364,-0.0792364,CONFIRMED
103,31.7236,2456903.78,5.064,3.14,0.28,0.016,-0.03,0.038,0.757,0.036,-0.05,157.682,1.309,-1.288,6.31369,0.051837,-0.051837,CONFIRMED
104,1.908084,2457990.284,2.5,2.482,0.22142959,0.01552327,-0.01409584,0.0185,1.228,0.077,-0.072,431.031,8.048,-7.764,2.2923,0.0422129,-0.0422129,CONFIRMED
105,7.49569,2456980.176,3.5904,2.71,0.242,0.0098,-0.026,0.023,1.079,0.026,-0.059,269.183,2.539,-2.493,3.68643,0.0344589,-0.0344589,CONFIRMED
106,26.201446,2457164.39,3.33,2.26,0.20162404,0.01695069,-0.00892142,0.0297,0.7,0.01,-0.01,105.58,0.487,-0.482,9.4428,0.043153,-0.043153,CONFIRMED
107,29.626402,2456993.54,4.92,3.41,0.30421982,0.02230354,-0.02408779,0.03282,0.86,0.040150000000000005,-0.04,249.742,2.942,-2.876,3.97597,0.046282,-0.046282,CONFIRMED
108,20.978959,2457991.536,4.4,1.677,0.14961218,0.01052727,-0.00972435,0.0196,0.784,0.051,-0.047,162.306,1.351,-1.329,6.13296,0.0504878,-0.0504878,CONFIRMED
109,1.7292591,2456811.255,1.73,11.0,0.98135427,0.02230354,-0.02408779,0.1388,0.66,0.040150000000000005,-0.04,495.317,10.777,-10.335,1.99067,0.042692,-0.042692,CONFIRMED
110,17.30713,2457812.718,3.449,3.0,0.26764253,0.01159784,-0.01159784,0.04064,0.677,0.027,-0.027,59.2474,0.1877,-0.1865,16.8497,0.0528994,-0.0528994,CONFIRMED
111,26.8054,2457307.913,2.928,1.48,0.132,0.013,-0.017,0.0221,0.616,0.049,-0.038,145.701,1.082,-1.067,6.83508,0.0502397,-0.0502397,CONFIRMED
112,10.00361,2456815.524,2.88,2.57,0.22928004,0.02230354,-0.02408779,0.03485,0.62,0.040150000000000005,-0.04,231.828,2.129,-2.091,4.28506,0.038965,-0.038965,CONFIRMED
113,5.35161,2457067.967,4.1592,2.09,0.186,0.046,-0.046,0.0166,1.17,0.11,-0.11,200.394,2.763,-2.69,4.96259,0.0673735,-0.0673735,CONFIRMED
114,50.285869,2456828.355,12.62,3.47,0.30957266,0.02230354,-0.02408779,0.05345,0.74,0.040150000000000005,-0.04,829.248,29.0795,-29.0795,1.1772,0.0419644,-0.0419644,FALSE POSITIVE
115,10.0044,2456815.517,2.87,1.69,0.1507717,0.02676421,-0.02676421,0.0349,0.435,0.06,-0.06,231.828,2.129,-2.091,4.28506,0.038965,-0.038965,CONFIRMED
116,4.521953,2458099.687,3.0,1.593,0.14211819,0.00544206,-0.00517442,0.0161,0.907,0.018,-0.017,359.439,5.293,-5.144,2.75372,0.0400823,-0.0400823,CONFIRMED
117,5.213965,2457222.479,2.62,2.27,0.20251618,0.01695069,-0.01248998,0.0258,0.8,0.03,-0.03,418.395,7.353,-7.107,2.36212,0.0409773,-0.0409773,CONFIRMED
118,1.729268124,2459526.192,1.8278099,12.6001269,1.12410996,0.05118358,-0.05118358,0.0301,0.766495,0.040150000000000005,-0.04,495.317,10.777,-10.335,1.99067,0.042692,-0.042692,CONFIRMED
119,4.528598,2457143.975,2.57,1.49,0.13292913,0.01248998,-0.00624499,0.0173,0.78,0.02,-0.02,327.783,3.236,-3.175,3.02214,0.0296087,-0.0296087,CONFIRMED
120,0.959628,2457394.375,1.65,1.557,0.13890624,0.0050852,-0.0050852,0.01725,0.828,0.028,-0.028,47.2899,0.1485,-0.1475,21.1175,0.065682,-0.065682,CONFIRMED
121,5.17222,2457066.581,1.7664,2.12,0.189,0.009,-0.015,0.0304,0.639,0.012,-0.021,190.81,2.126,-2.08,5.21281,0.0573246,-0.0573246,CONFIRMED
122,18.283257,2456992.751,6.03,2.31,0.2060844,0.02230354,-0.02408779,0.01992,1.01,0.040150000000000005,-0.04,561.93,15.381,-14.596,1.75175,0.0470854,-0.0470854,CONFIRMED
123,9.72739,2457072.301,4.24,4.6,0.41038451,0.13382104,-0.13382104,0.0441,0.93,0.29,-0.29,491.242,7.054,-6.861,2.00706,0.0286106,-0.0286106,CONFIRMED
124,44.55983,2456826.229,4.325,1.51,0.13471318,0.02051923,-0.02051923,0.02453,0.56,0.07,-0.07,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,CONFIRMED
125,5.7619248,2456979.866,2.2,1.37,0.12222321,0.02230354,-0.02408779,0.01357,0.83,0.040150000000000005,-0.04,185.55,1.833,-1.798,5.36125,0.0523408,-0.0523408,CONFIRMED
126,52.7099,2457159.157,4.92,2.48,0.221,0.017,-0.04,0.0255,0.891,0.0072,-0.0057,268.357,3.298,-3.22,3.69811,0.044908,-0.044908,CONFIRMED
127,9.3261,2457150.171,2.8104,3.1,0.28,0.44,-0.04,0.0368,0.78,0.040150000000000005,-0.04,327.783,3.236,-3.175,3.02214,0.0296087,-0.0296087,CONFIRMED
128,1.4044283,2456894.711,2.45,3.66,0.32652333,0.02230354,-0.02408779,0.3227,0.12,0.040150000000000005,-0.04,166.168,3.973,-3.794,5.99516,0.139462,-0.139462,FALSE POSITIVE
129,3.64823,2457738.55,1.825,1.24,0.11062558,0.00981356,-0.00981356,0.0182,0.622,0.051,-0.051,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,CONFIRMED
130,2.35321,2457740.371,1.947,1.49,0.1329289,0.0133821,-0.01248996,0.01628,0.839,0.054,-0.051,202.585,2.028,-1.989,4.90795,0.048567,-0.048567,CONFIRMED
131,6.42973,2456898.855,2.908,2.65,0.23641716,0.02051923,-0.02051923,0.0276,0.87,0.05,-0.05,179.943,1.603,-1.575,5.52913,0.0486978,-0.0486978,CONFIRMED
132,8.7783,2457303.905,2.904,2.27,0.203,0.028,-0.054,0.0301,0.69,0.028,-0.045,182.207,1.355,-1.336,5.45983,0.0402165,-0.0402165,CONFIRMED
133,3.00265,2456928.059,3.08,7.655747,0.683,0.037,-0.037,0.063,1.12,0.05,-0.05,491.87,11.47,-10.969,2.00523,0.0460023,-0.0460023,CONFIRMED
134,20.507693,2456817.482,3.57,2.78,0.24801499,0.02230354,-0.02408779,0.03444,0.72,0.040150000000000005,-0.04,313.764,2.856,-2.856,3.15843,0.0287915,-0.0287915,CONFIRMED
135,18.24841,2457233.826,11.496,12.48,1.113,0.174,-0.078,0.0422,2.71,0.42,-0.13,519.229,12.998,-12.389,1.89836,0.0466995,-0.0466995,CONFIRMED
136,10.93459,2456814.592,2.736,2.02,0.18,0.021,-0.044,0.0348,0.532,0.041,-0.048,202.943,1.665,-1.639,4.89899,0.0398059,-0.0398059,CONFIRMED
137,1.9153073,2456124.259,3.4968,11.937585,1.065,0.098,-0.098,0.0725,1.503,0.101,-0.043,638.7,12.633,-12.16,1.53764,0.0301429,-0.0301429,CONFIRMED
138,2.39984,2456810.587,2.064,1.4,0.12489963,0.01516638,-0.01516638,0.01777,0.72,0.04,-0.04,252.596,2.4395,-2.4395,3.9304,0.0379436,-0.0379436,CONFIRMED
139,3.31392,2457304.524,3.19,16.14096,1.44,0.15,-0.15,0.083,1.78,0.16,-0.16,685.2,20.502,-19.364,1.43244,0.042084,-0.042084,CONFIRMED
140,4.465633,2455737.94,3.528,14.572,1.3,0.05,-0.03,0.0301,1.06,0.03,-0.04,297.462,3.959,-3.858,3.33369,0.0438308,-0.0438308,CONFIRMED
141,1.422647,2456827.962,1.047,1.45,0.12936034,0.01070568,-0.01070568,0.0176,0.75,0.02,-0.02,109.749,0.615,-0.609,9.08318,0.0504275,-0.0504275,CONFIRMED
